Price,Location,Bedrooms,Area,Property Type,Avg Temperature,Humidity
169000,"Downtown Views II Tower 1, Downtown Views II, Downtown Dubai, Dubai",2.0,1168.0,Apartment,33.0,57.0
75000,"Gateway Residences, Mina Al Arab, Ras Al Khaimah",1.0,923.0,Apartment,32.4,37.4
60000,"Gateway Residences, Mina Al Arab, Ras Al Khaimah",1.0,923.0,Apartment,32.4,37.4
180000,"Address Fountain Views Hotel, The Address Residence Fountain Views, Downtown Dubai, Dubai",1.0,842.0,Apartment,33.0,57.0
129900,"Dunya Tower, Burj Khalifa Area, Downtown Dubai, Dubai",1.0,725.0,Apartment,32.9,57.1
310000,"The Address Residence Fountain Views 2, The Address Residence Fountain Views, Downtown Dubai, Dubai",2.0,1453.0,Apartment,33.0,57.0
140000,"Act Towers, Opera District, Downtown Dubai, Dubai",1.0,651.0,Apartment,33.0,57.0
115000,"Damac Maison The Distinction, Downtown Dubai, Dubai",1.0,891.0,Apartment,33.0,57.0
140000,"The Address Dubai Mall, Downtown Dubai, Dubai",,647.0,Apartment,33.0,57.0
120000,"Dunya Tower, Burj Khalifa Area, Downtown Dubai, Dubai",1.0,816.0,Apartment,32.9,57.1
330000,"Grande, Opera District, Downtown Dubai, Dubai",2.0,1201.0,Apartment,33.0,57.0
80000,"Pacific Tonga, Pacific, Al Marjan Island, Ras Al Khaimah",2.0,1444.0,Apartment,17.6,86.2
410000,"Burj Royale, Downtown Dubai, Dubai",3.0,1318.0,Apartment,33.0,57.0
550000,"The Address Residences Dubai Opera Tower 1, The Address Residences Dubai Opera, Downtown Dubai, Dubai",3.0,1624.0,Apartment,33.0,57.0
45000,"Pacific Bora Bora, Pacific, Al Marjan Island, Ras Al Khaimah",,445.0,Apartment,19.4,75.5
410000,"The Address Residences Dubai Opera Tower 2, The Address Residences Dubai Opera, Downtown Dubai, Dubai",3.0,1571.0,Apartment,33.0,57.0
329999,"The Address Residences Dubai Opera Tower 2, The Address Residences Dubai Opera, Downtown Dubai, Dubai",2.0,1439.0,Apartment,33.0,57.0
155000,"Tajer Residences, The Old Town Island, Downtown Dubai, Dubai",1.0,1555.0,Apartment,33.0,57.0
129000,"Burj Views podium, Burj Views, Downtown Dubai, Dubai",1.0,906.0,Apartment,32.8,52.5
36000,"Pacific Samoa, Pacific, Al Marjan Island, Ras Al Khaimah",,445.0,Apartment,17.6,86.2
39999,"Pacific Tonga, Pacific, Al Marjan Island, Ras Al Khaimah",,445.0,Apartment,17.6,86.2
155000,"Marbella, Mina Al Arab, Ras Al Khaimah",3.0,3134.0,Villa,32.4,37.4
95000,"The Signature, Burj Khalifa Area, Downtown Dubai, Dubai",1.0,830.0,Apartment,32.9,57.1
